twitter_id,date,tweet
1544746056386195456,2022-07-06 18:12:14+00:00,"b'RT @BTWFoundation: (1/2) Born This Way Foundation is proud to announce our $1,000,000 Kindness in Community Fund to fund nonprofit organiza\xe2\x80\xa6'"
1541823326766583808,2022-06-28 16:38:21+00:00,"b'In celebration of Pride, @BTWFoundation is matching all donations at the link below to support LGBTQ+ organizations across the country \xe2\x9d\xa4\xef\xb8\x8f https://t.co/J4dzYRRCDX https://t.co/F4Qr4lD8TB'"
1541555950795902976,2022-06-27 22:55:54+00:00,b'An everyday artistry look tutorial by me using @HausLabs products is up on @Sephora\xe2\x80\x99s YouTube channel! Watch now \xf0\x9f\x92\x95 https://t.co/8rVe2KInEU'
1539773695480045568,2022-06-23 00:53:51+00:00,b'RT @itstonybennett: Another chance to catch the incredible special ONE LAST TIME: AN EVENING WITH TONY BENNETT &amp; LADY GAGA airing tonite at\xe2\x80\xa6'
1537854046014386176,2022-06-17 17:45:51+00:00,b'#HoldMyHand on Today\xe2\x80\x99s Top Hits \xf0\x9f\x96\xa4 @Spotify https://t.co/DUAOVnM8DF https://t.co/opl5h5mQHT'
1537314226913456128,2022-06-16 06:00:48+00:00,b'RT @SHOWstudio: Nick Knight &amp; @ladygaga \xe2\x80\x94 see you at the Chromatica Ball. \xf0\x9f\x8c\x9f\n\n#ChromaticaBall https://t.co/gK0ZK1roCt'
1537291007137415168,2022-06-16 04:28:32+00:00,b'Listen on Spotify: https://t.co/mExjfgguPw'
1537291005539405825,2022-06-16 04:28:31+00:00,"b'Grace and I share a vocal coach who is deeply meaningful to us both and changed our lives, through him I found her and she found me. So proud of her and feel touched she wrote a song inspired by me. Love her! Check it out!\xc2\xa0\xe2\x9d\xa4\xef\xb8\x8f @GraceGaustad1 https://t.co/9ExOKiXasf https://t.co/y6eWm8JyW9'"
1537246117829541888,2022-06-16 01:30:09+00:00,b'If you decide to I\xe2\x80\x99ll ride in this life with you \xe2\x9c\x88\xef\xb8\x8f #HoldMyHand https://t.co/TFGa9OcKTe https://t.co/aRS62cmRPX'
1535323367183568896,2022-06-10 18:09:50+00:00,b'#HoldMyHand on Today\xe2\x80\x99s Hits \xf0\x9f\x96\xa4 @AppleMusic https://t.co/hzdr4mynvz https://t.co/JLJ6QFECQe'
1535293192697880577,2022-06-10 16:09:56+00:00,"b'Supercharged clean artistry, powered by innovation. @hauslabs https://t.co/dknNHCOXkP https://t.co/MVQBTNFbI2'"
1534971657160232960,2022-06-09 18:52:16+00:00,b'Look what I just dropped at @sephora! @hauslabs MAKEUP IS OFFICIALLY in select stores and online. IN CASE YOU\xe2\x80\x99RE WONDERING WHERE TO LOOK IT\xe2\x80\x99S THE ONE THAT LOOKS LIKE A RAINBOW BECAUSE I MADE IT FOR YOU AND YOU\xe2\x80\x99RE MY RAINBOW \xf0\x9f\x8c\x88 https://t.co/lfX4GLwMiF https://t.co/Q9BJpKOnU4 https://t.co/uYXcjSlpIF'
1534929347462647808,2022-06-09 16:04:08+00:00,b'7 Categories.\n90 Products.\n25+ Supercharged Skincare Ingredients.\nTalc-Free.\nFragrance-Free.\n\nClean Artistry Makeup.\nNow available:\n@hauslabs and @sephora \nhttps://t.co/dknNHCOXkP https://t.co/2V4Vxua7yC'
