twitter_id,date,tweet
1545803637536051201,2022-07-09 16:14:41+00:00,b'Looking all mean and sh%t\xf0\x9f\x98\x82\xe2\x80\xbc\xef\xb8\x8f@prettylittlething https://t.co/MhU4FHzk80'
1544765802683023361,2022-07-06 19:30:42+00:00,b'A lil @prettylittlething \xf0\x9f\xa7\xa1 https://t.co/miVMh8A2dY'
1544726409813401606,2022-07-06 16:54:10+00:00,b'Screaming Happy Birthday to the \xf0\x9f\x90\x90 @50cent \xe2\x80\xa6.Cancers \xe2\x99\x8b\xef\xb8\x8f stick together no matter what\xe2\x80\xa6thank you for believing in me and always giving me an opportunity to shine. 19 years and counting\xe2\x80\xa6 GLG 4L \xf0\x9f\x92\x9a https://t.co/DLyWYJ2W0l'
1544419860653826048,2022-07-05 20:36:03+00:00,"b'Jessica \xf0\x9f\x90\x87 vibes @ New Orleans, Louisiana https://t.co/dLvyWJh1Zl'"
1544048580670922752,2022-07-04 20:00:43+00:00,"b'Had an amazing time @essencefest this weekend\xe2\x80\xa6.thanks for the great talks and so much love \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 @ New Orleans, Louisiana https://t.co/02Jj9rYrJs'"
1543280330278244352,2022-07-02 17:07:58+00:00,b'BMF WRAP PARTY\xe2\x80\xa6Who\xe2\x80\x99s ready for Season 2???? \xf0\x9f\xa4\x8d https://t.co/StdeX2R0Iw'
1542553785146515457,2022-06-30 17:00:56+00:00,b'Who\xe2\x80\x99s coming to Essence? It\xe2\x80\x99s going down Saturday\xe2\x80\xa6Get your tixs now!  @larry_morrow LETS GOOOO!!! SEE YOU THERE\xe2\x9d\xa4\xef\xb8\x8f https://t.co/jlAi5G9DHE'
1542343794896633863,2022-06-30 03:06:30+00:00,b'Still her \xf0\x9f\x92\x9a https://t.co/OtL8JmKCpI'
1542050408155283457,2022-06-29 07:40:41+00:00,b'Still on set\xe2\x80\xa6who\xe2\x80\x99s up late working???'
1540813839268302853,2022-06-25 21:47:00+00:00,b'Happy Birthday to me \xf0\x9f\x92\xab thank you for all the love today &amp; everyday. I feel so blessed &amp; my day has been so special \xf0\x9f\x98\x98 https://t.co/quHvu7cvqL'
1539739847102832642,2022-06-22 22:39:21+00:00,b'How\xe2\x80\x99s the view?\xf0\x9f\x92\x99@prettylittlething https://t.co/f4HolIjaam'
1532786826112532481,2022-06-03 18:10:31+00:00,b'Just posted a photo https://t.co/ygTsrEHpM2'
