twitter_id,date,tweet
1546613966092308480,2022-07-11 21:54:38+00:00,"b""RT @nashvillehumane: Who's this happy boy? It's VELCRO! Check out his #LoveHarder @MuttNation Monday Facebook Live on @98WSIX with @WayneDS\xe2\x80\xa6"""
1546581680563097601,2022-07-11 19:46:21+00:00,b'RT @CountryNow: Currently obsessing over these @WandajuneHome items by @mirandalambert! \xf0\x9f\x92\xab\n\nhttps://t.co/nL5cFkC4vK'
1546185698088206336,2022-07-10 17:32:51+00:00,b'last day to enter! @Idyllwind \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\xa7\xa1 https://t.co/10KJjNzrHe'
1545478060656443392,2022-07-08 18:40:57+00:00,b'RT @JaymiBader: I got my issue. Did you get yours? \xe2\x9d\xa4\xef\xb8\x8f #Palomino #RanFan #ActinUp @mirandalambert https://t.co/DbjuKkvoQv'
1545464819641470978,2022-07-08 17:48:21+00:00,b'Magical Moab! \xf0\x9f\xa7\xa1 https://t.co/OX84XtvVXB'
1545139405253492736,2022-07-07 20:15:16+00:00,b'A brief pause in our road trip updates to let y\xe2\x80\x99all know about a big contest @idyllwind is holding!\n\nWinner gets:\n$2000 travel voucher\n2 tickets to my show in Lake Tahoe\n$500 in Idyllwind Swag.\n\nEnter here: https://t.co/7Ma8WWEd1x https://t.co/vOnEfkNCTI'
1544379802555138048,2022-07-05 17:56:52+00:00,b'Time off touring means it\xe2\x80\x99s time to hit the dusty trail! There\xe2\x80\x99s no better way to spend summer than glamping with your best pals. We\xe2\x80\x99re out on a 20 day run of adventures out west. We kicked it off in beautiful Colorado. Stay tuned for more tales from the road. Happy trails y\xe2\x80\x99all! https://t.co/AytwfdjLLJ'
1543950020768038920,2022-07-04 13:29:04+00:00,"b""RT @MuttNation: Some things to keep in mind for the holiday weekend if you've got furry friends at home! Have a great Fourth of July!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8c\x9f ht\xe2\x80\xa6"""
1543685150759948288,2022-07-03 19:56:34+00:00,"b""RT @ACMawards: There's so much to celebrate at this year's #ACMhonors hosted by @carlypearce and honoring @mirandalambert, @ChrisStapleton,\xe2\x80\xa6"""
1542965711898923009,2022-07-01 20:17:47+00:00,b'Se\xc3\xb1orita need to have a little fun this holiday weekend! Outfit by @Idyllwind \n#Happy4thofJuly #actinup \n\nShop at @bootbarn or https://t.co/2ADXlKRxbB https://t.co/HkP5adrAIK'
1542695403950415872,2022-07-01 02:23:40+00:00,"b""RT @people: World, meet Wanda, @mirandalambert's '54 Flying Cloud airstream that's been on the road with her for a decade. \xe2\x9c\xa8 https://t.co/E\xe2\x80\xa6"""
1542579204881104897,2022-06-30 18:41:56+00:00,b'There\xe2\x80\x99s some sugar &amp; spice in @wandajunehome because that\xe2\x80\x99s who I am as a person. Here\xe2\x80\x99s a little more about the inspiration behind creating it \xe2\x98\x95\xef\xb8\x8f\xf0\x9f\x8d\xb9\n\xf0\x9f\x8e\xa5 @people\nShop: https://t.co/7riDVhKBhq https://t.co/0DEni60gTn'
1542536475446747136,2022-06-30 15:52:09+00:00,"b'RT @MuttNation: \xf0\x9f\x8c\x9fSenior dog appreciation post \xf0\x9f\x8c\x9fMiss Delta Dawn is a senior dog, but she\xe2\x80\x99s still got as much sass and spunk as ever. Older d\xe2\x80\xa6'"
1542267673370845185,2022-06-29 22:04:01+00:00,b'\xf0\x9f\xa4\xa0 @applemusic #TodaysCountry in Dallas! \nListen to the playlist here: https://t.co/st7LX5jS99 - Team ML https://t.co/xcIfOOkpUH'
1542187785934802944,2022-06-29 16:46:35+00:00,b'\xf0\x9f\x8c\xbc @people on stands this Friday. \nFull article: https://t.co/ptp2VZs5XN https://t.co/UQzNOOPK24'
1542187093752946693,2022-06-29 16:43:50+00:00,"b""RT @peopletv: In this exclusive interview with @mirandalambert, the country music star reveals how she's gearing up for her Velvet Rodeo re\xe2\x80\xa6"""
1541869044197953536,2022-06-28 19:40:01+00:00,b'RT @desiree_anne007: @WandajuneHome @mirandalambert ABSOLUTELY IN LOVE WITH MY FIRST ROUND ORDER \xe2\x80\xbc\xef\xb8\x8f \xf0\x9f\xa4\x8d\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d #hustlejuice #hotmess #hideyourcraz\xe2\x80\xa6'
1541869001613185035,2022-06-28 19:39:51+00:00,"b""RT @PasteMagazine: .@mirandalambert is at the peak of her powers on 'Palomino.' The country star talks emulating her songwriting heroes on\xe2\x80\xa6"""
1540705171197542401,2022-06-25 14:35:12+00:00,b'RT @hannahbaugh: Perfect road trip music @mirandalambert https://t.co/nj16guF9i4'
1540435417044058112,2022-06-24 20:43:17+00:00,b'Happy release day @lukecombs !\n\xf0\x9f\x8e\xa7 https://t.co/fbTER5iVrO https://t.co/9EdRjuImbh'
1540384449560547328,2022-06-24 17:20:46+00:00,b'I\xe2\x80\x99m so proud of you Marion Kraft for being named @billboard Executive of the Year. You are a blessing in my life  and an amazing manager &amp; friend. We\xe2\x80\x99ve been together almost 2 decades and done so much. Can\xe2\x80\x99t wait see what the next 20 has in store.\n\xf0\x9f\x93\x96: https://t.co/QYJpZS904X https://t.co/OYg8Fhehhh'
1540383607549747201,2022-06-24 17:17:25+00:00,"b""RT @billboard: Marion Kraft, Billboard's Country Power Players Executive of the Year, sits down with Miranda Lambert to chat about their fi\xe2\x80\xa6"""
1540366265738579971,2022-06-24 16:08:31+00:00,b'RT @WandajuneHome: \xe2\x80\x9cNonny (AKA Wanda Louise Coker) had this saying hangin in her kitchen.\xc2\xa0I read it all the time as a little girl and I\xe2\x80\x99ve\xe2\x80\xa6'
1540366231370452995,2022-06-24 16:08:22+00:00,"b""Calling all animal shelters! Join @MuttNation's #LoveHarder program for the chance to get a $1,000 grant for your shelter.\n\nLearn more + sign up here: https://t.co/KGTPfPLuir https://t.co/97nBQeg2Qx"""
1540199654767435776,2022-06-24 05:06:27+00:00,b'no problem detected here https://t.co/En2Kuq5HFj'
1540188910378274817,2022-06-24 04:23:46+00:00,b'RT @KelleyFosterAnn: @mirandalambert @TractorSupply @MuttNation 1st stop is always to help fill the \xe2\x80\x98Little Red Wagon\xe2\x80\x99\xf0\x9f\x90\xb6 .. next stop is to\xe2\x80\xa6'
1540083072137306120,2022-06-23 21:23:12+00:00,b'RT @carrieandran: truly the best tour. so lucky to have seen you live 7 times &amp; this tour twice!! forever inspired by you @mirandalambert \xf0\x9f\x92\x95\xe2\x80\xa6'
1540031012465479680,2022-06-23 17:56:20+00:00,b'Thank you to @RamTrucks for giving us a truck to pull @WandaTWanderer on #thebandwagontour https://t.co/6NSUW68J03'
1540030804163760128,2022-06-23 17:55:30+00:00,b'A big thanks to @TractorSupply for supporting @MuttNation\xe2\x80\x99s Fill the Little Red Wagon on tour! \xf0\x9f\x92\x96\xf0\x9f\x90\xb6 https://t.co/Ht9NykFF2v'
1540030593643298816,2022-06-23 17:54:40+00:00,b'Bandwagon Tour memories! Y\xe2\x80\x99all made round 2 a blast \xf0\x9f\x92\x96 https://t.co/M8RoqBzMJv'
1539994285180964866,2022-06-23 15:30:23+00:00,b'RT @AStrongLight: @mirandalambert\xe2\x80\x99s Palomino is damn near perfect. It\xe2\x80\x99s a road trip record with hidden love songs and I am here for all of\xe2\x80\xa6'
1539710816655654916,2022-06-22 20:43:59+00:00,b'This sweet kitty Ravioli came home with me today \xf0\x9f\x92\x99 @NashAnimalCare @MuttNation #adoptdontshop #loveashelterpet https://t.co/vSsn74baP2'
1539710188621537280,2022-06-22 20:41:30+00:00,"b'RT @NashAnimalCare: We love this message from @mirandalambert! \n\nIf you would like to add a new member to your family like she did here, st\xe2\x80\xa6'"
1539694020213243904,2022-06-22 19:37:15+00:00,b'RT @NikkiBurdine: All day today we are raising money for the #NashvillePetProject benefitting Friends of @NashAnimalCare &amp; @PetCommunityCtr\xe2\x80\xa6'
1539693796614701056,2022-06-22 19:36:21+00:00,b'Summer reminder to visit your local shelter \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x90\xb6\n\nPS: Welcome this sweet kitty Ravioli to the Farmily \xf0\x9f\x92\x99 @MuttNation @NashAnimalCare https://t.co/DFtdyRDAXe'
1539686676976517122,2022-06-22 19:08:04+00:00,b'RT @allkindsofran: miranda said it best! go rescue ur new best friend! just rescued our fourth kitty family member into our family \xf0\x9f\x92\x97 she wa\xe2\x80\xa6'
1539647682930769921,2022-06-22 16:33:07+00:00,b'RT @WandajuneHome: Our vintage stripe dinnerware set is the right mix of trendy and nostalgia! \n\n#MirandaLambert #Walmart #homedecor https:\xe2\x80\xa6'
1539311716013862914,2022-06-21 18:18:06+00:00,"b'RT @MuttNation: Pit mixes can make the most loving pups. This is Velma, she love to cuddle and play with her family! \xf0\x9f\x92\x96 https://t.co/9RBBedS\xe2\x80\xa6'"
1538720228602953728,2022-06-20 03:07:45+00:00,b'RT @Tara995TheWolf: Yay!! So excited about my new @mirandalambert glasses!!! https://t.co/teUZXOY6Ih'
