twitter_id,date,tweet
1347469644991442944,2021-01-08 09:06:12+00:00,b'If I keep going to the farm there won\xe2\x80\x99t be any strawberry left for the market https://t.co/2AFuwOrmCA'
1303950494466015233,2020-09-10 06:56:38+00:00,b'Wishing The Glorious 17 Squadron(Golden Arrows) all the very best and for all of us hope the Rafale beats the service record of the Mirage 2000 but Su30MKI remains my fav and the boys get new target to dogfight with and wait for BVR engagement till their upgrade to Super Sukhoi'
1303948918296895489,2020-09-10 06:50:22+00:00,b'With the Final Induction Ceremony the world\xe2\x80\x99s best combat proven 4.5Gen fighter plane gets the world\xe2\x80\x99s best fighter pilots. In the hands of our pilots and the mix of different aircrafts with the IAF the potent bird\xe2\x80\x99s lethality will only increase.'
1296362680580636672,2020-08-20 08:25:22+00:00,"b'An Artist,Soldier and Sportsperson what they crave for is appreciation, that their hard work and sacrifice is getting noticed and appreciated by everyone.thanks PM @narendramodi for your appreciation and good wishes. https://t.co/T0naCT7mO7'"
1228269266912317441,2020-02-14 10:46:28+00:00,b'When u spot the tiger on ur own and he obliges u with just enough time to click a few pics.Visit to kanha was outstanding https://t.co/73KIEslZT0'
1222130348768653313,2020-01-28 12:12:35+00:00,b'Want to know what keeps me going?\nWatch to see my secret mantra to get the best out of urself.\nYou get out what you put in. #GulfPowerWithin          @GulfOilIndia https://t.co/Mcsw65yeng'
1213821025982521346,2020-01-05 13:54:18+00:00,b'Snow brings the best out of her ziva_singh_dhoni https://t.co/9Z67wCI9R2'
1206544614405967879,2019-12-16 12:00:27+00:00,b'Blast from the past.when u turn the table and ask the director to deliver the dialogue specially when she keeps saying such an easy dialogue u shd do it in one take.time flies this was more than an Year back. https://t.co/VsDG98RWvo'
1187308369314340864,2019-10-24 10:02:29+00:00,b'A little help always goes a long way specially when u realise it\xe2\x80\x99s a big vehicle https://t.co/BTjr8qDtYK'
1181196411406147584,2019-10-07 13:15:44+00:00,b'Ziva was like why is he wearing my glasses then she goes upstairs to find hers and finally says my glasses r with me only.kids r different these https://t.co/SJ1gF4fut1 four and a half I won\xe2\x80\x99t have even registered that I have\xe2\x80\xa6 https://t.co/QYIgP7I3by'
1176455468614672389,2019-09-24 11:16:55+00:00,"b'Wen U know what\xe2\x80\x99s coming and start the camera and u get it in the nxt 1min, sorry for the bad light but it\xe2\x80\x99s the lingo that\xe2\x80\x99s fun trial ball, umpires decision last decision.brings back memory from school days.he wd\xe2\x80\xa6 https://t.co/EW7U1K1X7j'"
1125327309949390849,2019-05-06 09:11:52+00:00,b'Use your Power https://t.co/YAA9IlkwVF'
1115836014759694336,2019-04-10 04:36:51+00:00,b'After getting used to IPL timing this is what happens if u have a morning flight https://t.co/3zWrBEWYob'
1109806936097210370,2019-03-24 13:19:27+00:00,b'Just posted a video https://t.co/shFkwyluls'
1079353203966251008,2018-12-30 12:27:11+00:00,b'As a kid whenever v got sand this was one thing v would do for sure https://t.co/EACnXxA34T'
1074959363662594049,2018-12-18 09:27:38+00:00,"b'Were you wondering who the mystery icon panerai_india, @PaneraiOfficial and panerai_me were referring to? Guess no more! I am very happy to announce my collaboration with my new Panerai\xe2\x80\xa6 https://t.co/8crjHU9Xvf'"
1069238775803494400,2018-12-02 14:36:04+00:00,b'Even better when we are dancing https://t.co/oyaPXOqVvo'
1066337029041127424,2018-11-24 14:25:33+00:00,b'Greetings in two language https://t.co/C8uMUTEdZE'
1065916058475749376,2018-11-23 10:32:46+00:00,b'Ziva\xe2\x80\x99s bugs bunny zivasinghdhoni006 https://t.co/1MLbleV52y'
1050663337464291329,2018-10-12 08:23:54+00:00,"b""Great weather and Pubg.This headset feels so comfortable, I could wear it all day. Check out @soundlogic.in's Voice Assistant Neckband Headset on @flipkart. Now available in MSD Limited Edition, autographed by me! #JusBol https://t.co/h7Lv95cfgA"""
1032895627825475584,2018-08-24 07:41:22+00:00,"b'A bit of hugging,training, catching practice and getting unconditional love in return.priceless https://t.co/cvslzWHWYI'"
1031850530421854208,2018-08-21 10:28:31+00:00,b'Very smart https://t.co/TijnaoXVoE'
1028515192869728257,2018-08-12 05:35:05+00:00,"b'With 3 waterfalls around Ranchi, v cd do this whenever v wanted but now to do something like this after more than 10yrs brings back the good old memories.head massage for free https://t.co/ISiAJERf4m'"
