twitter_id,date,tweet
1546636817096646657,2022-07-11 23:25:26+00:00,b'@LaidBackInSong @DarkHorseComics @GalenShowman @Lovern All originals.'
1546636727128936452,2022-07-11 23:25:05+00:00,b'RT @chesser_johanna: Let\xe2\x80\x99s help this  Uvalde teacher get funded .  She definitely needs our support!  #uvaldestrong #DonorsChoose #PleaseRT\xe2\x80\xa6'
1546636687316602880,2022-07-11 23:24:56+00:00,"b'RT @ShoshanaKessock: Oh my, I just realized @neilhimself \xe2\x80\x98s THE SANDMAN hits Netflix August 5th so I\xe2\x80\x99ll be saying g\xe2\x80\x99bye for a while until I\xe2\x80\xa6'"
1546636531833643009,2022-07-11 23:24:18+00:00,"b'RT @jbarbassa: Bookstores are roaring back in ""a rally like we\'ve never seen before"" -- and as the number of stores has grown, the business\xe2\x80\xa6'"
1546635756202065926,2022-07-11 23:21:14+00:00,"b'RT @DirkMaggs: Jon Pertwee starred in Doctor Who audios in the mid 90s, before Big Finish took up the DW baton. Written by Barry Letts, the\xe2\x80\xa6'"
1546635623905345536,2022-07-11 23:20:42+00:00,b'RT @stepville: Reflecting on a version of myself-who is the basis for my next book-and I am filled with awe. I wish I could thank her for w\xe2\x80\xa6'
1546635539956334601,2022-07-11 23:20:22+00:00,b'RT @ColleenDoran: SANDMAN. Private commission. Dream and Death. Pencil. I had a conversation with @neilhimself about the body language on t\xe2\x80\xa6'
1546635529797746689,2022-07-11 23:20:20+00:00,"b'RT @Chris_G_Pearson: This summer is going to be tough for a lot of families, please #RT it may help someone https://t.co/MYjZD4yciF'"
1546615341089964034,2022-07-11 22:00:06+00:00,b'@envelope_girl Excellent!!'
1546615226946273282,2022-07-11 21:59:39+00:00,"b""@sharonvanetten She is. And it's beautiful."""
1546615177424080896,2022-07-11 21:59:27+00:00,b'RT @hollowrib: @FlorkOfCows @neilhimself I just got this a month ago https://t.co/GoBrNy3fSj'
1546615134419820544,2022-07-11 21:59:17+00:00,"b""@gpnelson88 I'm glad."""
1546592572864430089,2022-07-11 20:29:38+00:00,"b'No. I try and get copies of things. (Sometimes I\xe2\x80\x99m sent them, not always.) Ash tends to play with them, so most of my Coraline toys, and the Funko Pops have been taken out and lost or destroyed by a small boy playing with them a lot. https://t.co/nnsiPOxDAA'"
1546591979521310721,2022-07-11 20:27:16+00:00,"b""RT @DarklingAlchemy: @VictoireMabelle @neilhimself There was one about twenty years ago.  It's become very scarce though.  I bought one for\xe2\x80\xa6"""
1546591822520221699,2022-07-11 20:26:39+00:00,b'There was! https://t.co/8eynVQTp7k'
1546591732162256897,2022-07-11 20:26:17+00:00,b'RT @SynthAndStrings: @DarklingAlchemy @neilhimself @AutumnsWhisper Husband just found these for me \xf0\x9f\x98\x8a https://t.co/T7t6fmFm8J'
1546591545670918148,2022-07-11 20:25:33+00:00,"b'RT @DarkHorseComics: The finale of Ragnarok illustrates the death of the gods, the end of the world, its renewal, and concludes the epic ru\xe2\x80\xa6'"
1546589687216742402,2022-07-11 20:18:10+00:00,b'@Doc_Nero It was a long time ago. We were all gods back then.'
1546589462817394689,2022-07-11 20:17:16+00:00,b'Well done! https://t.co/DRh2DE3ehg'
1546587531239739393,2022-07-11 20:09:36+00:00,b'@mishlmishl @sdcc I will.'
1546587415766355971,2022-07-11 20:09:08+00:00,"b'We all do. I have no idea who makes Sandman merchandise, or if there will be anything at all. https://t.co/9lV9Dqg9pv'"
1546583013701685248,2022-07-11 19:51:39+00:00,b'RT @dakimbo: Banned \n\nCaptain Underpants by Dave Pilkey \n\n@neilhimself @Oprah @JohnLeguizamo @DaveedDiggs @tylerperry @GeraldoRivera \n\n@ByE\xe2\x80\xa6'
1546582917912170496,2022-07-11 19:51:16+00:00,b'RT @Davidboatymcboa: @Nanotyrann @neilhimself Well if you\xe2\x80\x99re interested in maybe having a chance to win the numbered edition here is your c\xe2\x80\xa6'
1546582853412077569,2022-07-11 19:51:01+00:00,b'@Davidboatymcboa @ColleenDoran I hope Colleen says yes.'
1546543104206962688,2022-07-11 17:13:04+00:00,"b""@PatDBMcAllister Depends on the scene. Some are colourful,some aren't, just like the comic."""
1546542552240869377,2022-07-11 17:10:52+00:00,"b""RT @Lauriux: I took @neilhimself's advice and it is quite funny\xf0\x9f\x98\x81"""
1546542519730708487,2022-07-11 17:10:44+00:00,"b'RT @HarperCollins: ""Neil Gaiman\xe2\x80\x99s Books Have Enchanted Millions. Finally, Hollywood Is on Board.""\nThe @wpmagazine delves into the works of\xe2\x80\xa6'"
1546542118759501824,2022-07-11 17:09:09+00:00,b'@XBillHugginsX Yes.'
1546536476321660928,2022-07-11 16:46:43+00:00,"b'Currently on repeat play, this song and the haunting video. My friend Coco Karol (@findingcoco) is the choreographer (and the woman initially on her phone in the beginning). Beautiful. #sharonvanetten #headspace\n\nhttps://t.co/DG3CjRgGA8'"
1546478421894729728,2022-07-11 12:56:02+00:00,b'@AltGrendel Love Cordwainer Smith.'
1546478361597427718,2022-07-11 12:55:48+00:00,"b""It's gorgeous! (Also I accidentally missed unboxing one of the editions. Still to do.) https://t.co/PKAc0SVZPM"""
1546478071057973252,2022-07-11 12:54:38+00:00,"b""It's gorgeous. (And beautiful music.) https://t.co/qxKJydHcgs"""
1546477821937295360,2022-07-11 12:53:39+00:00,b'Tickets go on sale in two hours. They may go fast. https://t.co/NgWhqyDruk'
1546359455025176576,2022-07-11 05:03:18+00:00,"b'RT @ColleenDoran: DELIRIUM from SANDMAN. Brush and ink, color metallic ink, and 18K gold ink. This one is really simple, but one of my favo\xe2\x80\xa6'"
1546359405540671488,2022-07-11 05:03:06+00:00,"b""RT @ColleenDoran: 1960's era DELIRIUM from SANDMAN. Private commission. Pen and ink, colored inks, and 18K gold ink. Peace and love. Have a\xe2\x80\xa6"""
1546359248384294912,2022-07-11 05:02:29+00:00,b'RT @ColleenDoran: SANDMAN. White pencil on the black inside cover of a SANDMAN graphic novel collection. https://t.co/woXJLzDbwR'
1546359230072033281,2022-07-11 05:02:25+00:00,"b'RT @ColleenDoran: SANDMAN Gallery painting. I really need to rethink this at some point, I could do it so much better now. Published by DC/\xe2\x80\xa6'"
1546358313813786624,2022-07-11 04:58:46+00:00,"b'RT @travbotknight: Gary King of the Humans! @edgarwright ""The World\'s End"" is streaming on @hbomax ! As I get older, it\'s becoming my favor\xe2\x80\xa6'"
