twitter_id,date,tweet
1546657931642507265,2022-07-12 00:49:21+00:00,"b'RT @NUJERZEYTWORK: WE RIGHT BACK AT IT!!!! TUNE INTO MY CAFFEINE TONIGHT , ME &amp; @TheOnlyTayRoc GOING HEAD TO HEAD!! MEEK VS WAYNE 9PM SHARP\xe2\x80\xa6'"
1546653009295413255,2022-07-12 00:29:47+00:00,b'@SharelleRosado_ https://t.co/rMXE4Bwgui \xe2\x9d\x93'
1546652131352055808,2022-07-12 00:26:18+00:00,b'RT @solodeauxleaux: Now see\xe2\x80\xa6lmao https://t.co/bSy6Pr4PSI'
1546647091136663554,2022-07-12 00:06:16+00:00,"b'I have to be the only person from Miami that\xe2\x80\x99s never been to Booby Trap, do they sell food &amp; is it better than the seafood rice + lobster tail from Tootises\xe2\x9d\x93'"
1546645296544944129,2022-07-11 23:59:08+00:00,b'\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/RqsCcpsflR'
1546642957679353857,2022-07-11 23:49:51+00:00,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/WrKxKpWW3k'
1546642632562065409,2022-07-11 23:48:33+00:00,"b'RT @Jaimooks: I\'m not dating again until God himself come sit on my bed &amp; say ""my homeboy tryna talk to you"".'"
1546640703555604480,2022-07-11 23:40:53+00:00,b'French Fry has worn Baby Kennedi out \xf0\x9f\x98\x8d https://t.co/hMM5ko3Rax'
1546637624554700801,2022-07-11 23:28:39+00:00,"b'RT @joshuaneall: HBO Max, Netflix, Amazon Prime &amp; Hulu get Counseling\xf0\x9f\x98\xa9\xf0\x9f\x98\x82 (https://t.co/nVT8p4SFo2 \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f) https://t.co/5pbsVYCQCC'"
1546635086568767490,2022-07-11 23:18:34+00:00,"b'RT @SaycheeseDGTL: In 2014, a woman named Ruja Ignatova launched a fake cryptocurrency named ""OneCoin"". Despite the currency never existing\xe2\x80\xa6'"
1546634755487240192,2022-07-11 23:17:15+00:00,b'RT @waymoflydenuu: Jesus \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/IuEFcfrsQl'
1546632049859207168,2022-07-11 23:06:30+00:00,b'https://t.co/PIjwmfCBtl https://t.co/hDkBeip3Pa'
1546631230766153728,2022-07-11 23:03:15+00:00,b'Great analogy https://t.co/GQJkLBVpUX'
1546628728813490177,2022-07-11 22:53:18+00:00,"b'Just waking up from a midday nap, i feel rejuvenated &amp; ready for the 2nd half of the day \xf0\x9f\x98\x84'"
