twitter_id,date,tweet
1546456147506466816,2022-07-11 11:27:31+00:00,"b'RT @daraafeliz: Los ojos se cierran pidiendo un deseo, deseo deseo \xe2\x9c\xa8 @pabloalboran \xe2\x9c\xa8'"
1546456105596878849,2022-07-11 11:27:21+00:00,"b'RT @Alfonsobrauk: @pabloalboran Como no seguirte, eres un grande y fuente de inspiraci\xc3\xb3n para otros artistas\nhttps://t.co/eT7EqQ4YFc'"
1546456067680489474,2022-07-11 11:27:12+00:00,"b'RT @muyalboranista: -INFO- Este viernes llega #CarreteraYManta, el nuevo single de @pabloalboran, a todas las plataformas. \xc2\xa1Pre-gu\xc3\xa1rdala y\xe2\x80\xa6'"
1546239552947474436,2022-07-10 21:06:51+00:00,b'RT @JessicaRaulista: No ha salido Carretera y manta y Supervivientes no deja de ponerlo \xe2\x80\xa6 @pabloalboran \nViernes no tardeeeees !'
1546239006475706370,2022-07-10 21:04:41+00:00,b'RT @Lau_alboran: Rubiales est\xc3\xa1 sonando carretera y manta en supervivientes @pabloalboran y tengo que decirte que\xe2\x80\xa6 me encanta!'
1546238938393853954,2022-07-10 21:04:25+00:00,b'RT @guimy_more: Est\xc3\xa1 sonando #CarreteraYManta y a\xc3\xban no es d\xc3\xada 15\nAhhhh @pabloalboran #ConexionHonduras12'
1546238867254255618,2022-07-10 21:04:08+00:00,b'RT @Elena_friias: Supervivientes poniendo Carretera y Manta y yo aqui dandolo todo deseando que sea 15 para escucharla entera @pabloalboran'
1546238787772088325,2022-07-10 21:03:49+00:00,b'RT @marcavera: Oye Pablo @pabloalboran que est\xc3\xa1n poniendo tu nuevo temazo en @Supervivientes https://t.co/B3USGPGWgg'
1546223841730613249,2022-07-10 20:04:25+00:00,"b'Gracias a toda la gente que me est\xc3\xa1 siguiendo en esta gira!! Es impresionante las horas, viajes, estancias.. y todo lo que hac\xc3\xa9is por mi m\xc3\xbasica. Me emociona y me inspira para seguir disfrutando de este sue\xc3\xb1o!! Vamos por m\xc3\xa1s!! \xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3'"
1546222076075335683,2022-07-10 19:57:25+00:00,b'@silvialehop \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0'
1546222048388734981,2022-07-10 19:57:18+00:00,"b'RT @silvialehop: Y dicho esto,en nada podemos disfrutar de #CarreteraYManta @pabloalboran \xf0\x9f\x98\x98 https://t.co/GNZBOMTzD2'"
1546159995867258881,2022-07-10 15:50:43+00:00,b'RT @j_fernando19: Noche m\xc3\xa1gica para el recuerdo \xe2\x9c\xa8\xef\xb8\x8f todav\xc3\xada sigo fascinado que concierto m\xc3\xa1s bello y que sentimiento gracias @pabloalboran h\xe2\x80\xa6'
1546073409578221569,2022-07-10 10:06:40+00:00,"b'RT @tuyyo2841: Ir a los conciertos de @pabloalboran, es como una terapia, te deja tan relajada, tan nueva, que te rejuveneces.\nYo lo recomi\xe2\x80\xa6'"
1546072638304534528,2022-07-10 10:03:36+00:00,b'RT @JaviYMar: Va dejando pistas de lo que est\xc3\xa1 preparando... \xc2\xa1y con cada publicaci\xc3\xb3n @pabloalboran nos contagia su ilusi\xc3\xb3n!   https://t.co/\xe2\x80\xa6'
1546072598601256960,2022-07-10 10:03:26+00:00,b'RT @isabelmh_04: es el cuarto concierto que voy de @pabloalboran y me sigo emocionando como el primero'
1546072515952484352,2022-07-10 10:03:07+00:00,"b'RT @conchimarinort: Pedazo de concierto que dio @pabloalboran anoche en Marbella en el @StarliteCatOcc  qye maravilla de voz, hace con ella\xe2\x80\xa6'"
