twitter_id,date,tweet
1540123727668592640,2022-06-24 00:04:45+00:00,b'@_ValeCuevas @paulitachaves Gracias por avisar'
1533473129422520326,2022-06-05 15:37:39+00:00,b'@panquimolina @sudanalytics_ \xf0\x9f\x92\xaa\xf0\x9f\x91\x8f'
1533471201191989253,2022-06-05 15:29:59+00:00,b'@panquimolina @sudanalytics_ No. Pero lo queremos como si si. Ya le dije q que estamos tras el sue\xc3\xb1o que el monumental coree alfonsooo alfonsooo'
1528427303390388224,2022-05-22 17:27:20+00:00,b'@GabyPyP @paulitachaves Muy feliz cumple que tengas gran d\xc3\xada'
1526575415308996609,2022-05-17 14:48:36+00:00,b'@Patty_lovepyp \xe2\x9c\x85\xf0\x9f\x98\xad'
1526057316155416577,2022-05-16 04:29:51+00:00,b'@pypxle \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1525612237699829761,2022-05-14 23:01:16+00:00,b'@CABrown_Oficial \xf0\x9f\xa4\xa3\xf0\x9f\x91\x8f'
1525128954352312322,2022-05-13 15:00:52+00:00,b'@vickybarrios3 @SofiMacaggi @rodrigo_noya \xf0\x9f\x99\x8c\xe2\x9d\xa4\xef\xb8\x8f'
1524890705239281664,2022-05-12 23:14:09+00:00,b'@Aledelon Son los 40 querido. Acuarentenado'
1524732518645202945,2022-05-12 12:45:35+00:00,b'@peralta_nico @Revista_PRONTO Nico! Tantos a\xc3\xb1os tantas notas y siempre es un placer! Gracias'
1521274006300725248,2022-05-02 23:42:41+00:00,b'RT @multiteatro: \xf0\x9f\x93\x8c Pedro Alfonso &amp; C\xc3\xada. regresa a Mar del Plata luego de 8 a\xc3\xb1os.\n\xe2\x80\x9cUna noche en el hotel\xe2\x80\x9d tambi\xc3\xa9n elige Mar del Plata para e\xe2\x80\xa6'
1518421037167259652,2022-04-25 02:46:00+00:00,b'@mas_ayelen Obvio q si. Much\xc3\xadsimas gracias'
1515359205393272836,2022-04-16 15:59:23+00:00,b'@cachosantoro Abrazo enorme querido Osvaldo'
1513481505124716547,2022-04-11 11:38:04+00:00,b'RT @Tutehumor: Jos\xc3\xa9 M\xc3\xa1rmol\n@juliolonga1903 \n@pedroalfonsoo https://t.co/fBUjba82Z3'
1510084559462875138,2022-04-02 02:39:49+00:00,b'@milijuntoaPYP No. 22 de Mayo Canning. 5 de junio quilmes'
1510060281996718090,2022-04-02 01:03:21+00:00,b'@julipaulitercyp https://t.co/Rax5rpALsE ah\xc3\xad aparecer\xc3\xa1n en breve supongo'
1510058957674532867,2022-04-02 00:58:05+00:00,b'@florrflorr 4 junio'
1510057616583573510,2022-04-02 00:52:45+00:00,b'@BipolarDePeter Si es ser\xc3\xa1 agosto \xf0\x9f\x87\xba\xf0\x9f\x87\xbe \xf0\x9f\xa4\x9e'
1510057455564345359,2022-04-02 00:52:07+00:00,b'@milijuntoaPYP 22 Mayo'
1510048867919802371,2022-04-02 00:18:00+00:00,b'@PauyPeterNoEnd Tigre? 21 Mayo'
1507460797932343297,2022-03-25 20:53:56+00:00,b'@Patty_lovepyp Feliz cumple!!! Que tengas lindo d\xc3\xada'
1506047680350330880,2022-03-21 23:18:42+00:00,b'@majo64__ @pypxespos @CarlyLuzzi Reee'
1505300374311239684,2022-03-19 21:49:11+00:00,b'@franalverja Amenedo?'
1504985104870899718,2022-03-19 00:56:24+00:00,b'@LuuzGonzalez7 @_milagroscle 6 Mayo. Bueno hasta ac\xc3\xa1. Obvio q no est\xc3\xa1 todo 100% confirmado. Pero ese es el panorama.'
1504984838188593153,2022-03-19 00:55:21+00:00,b'@celefrau Cancelamo?'
1504984745142222849,2022-03-19 00:54:59+00:00,b'@MagaGalego 23 abril'
1504984637524766723,2022-03-19 00:54:33+00:00,b'@celefrau 5 junio'
1504984569145044992,2022-03-19 00:54:17+00:00,b'@SofiPauliter23 8 julio'
1504984460080545792,2022-03-19 00:53:51+00:00,b'@FlorSanchezPyP @_milagroscle 14 abril'
1504984218186629128,2022-03-19 00:52:53+00:00,b'@SofiPauliter23 Si'
1504983763826057219,2022-03-19 00:51:05+00:00,b'@julove_PYP @ccecilu @_milagroscle 29 Mayo'
1504983661526994951,2022-03-19 00:50:40+00:00,b'@fearlesspyp Muero de ganas. No confirmado a\xc3\xban. Si se da ser\xc3\xa1 en Agosto'
1504983416353165317,2022-03-19 00:49:42+00:00,b'@ccecilu @_milagroscle 27 Mayo'
