twitter_id,date,tweet
1546654346447769600,2022-07-12 00:35:06+00:00,"b""RT @dyrdekmachine: The bigger the idea, the more the universe will conspire in your favor to bring it to fruition.\n\nThat's the mindset Tayl\xe2\x80\xa6"""
1546560666181312512,2022-07-11 18:22:51+00:00,"b'Realize that every choice, every decision, every thought, everything you choose to do has an impact on your life. \n\nMake it a positive impact.'"
1546545902294220801,2022-07-11 17:24:11+00:00,b'RT @dyrdekmachine: There is enormous power in pointing your full energy in a single direction for your entire life.\n\nA profession or skill\xe2\x80\xa6'
1546200466358296576,2022-07-10 18:31:32+00:00,"b'RT @dyrdekmachine: Did you know the water in your shower contains chlorine, heavy metals and contaminants?\n\n@jolieskinco has the perfect so\xe2\x80\xa6'"
1545524993794027520,2022-07-08 21:47:27+00:00,"b'RT @dyrdekmachine: You can choose to live in either negativity or positivity.\n\nIn a negative mindset, you are:\n- Dwelling and sulking\n- Hop\xe2\x80\xa6'"
1545488081058287616,2022-07-08 19:20:46+00:00,"b'The goal of automation and living within systems is to make your existence more intuitive with less effort. \n\nWhen you use less effort, you gain more energy back. \n\nThat energy can now be applied to other aspects of your life.'"
1545192886446071808,2022-07-07 23:47:47+00:00,"b'RT @dyrdekmachine: When Rob Dyrdek experiences negative thoughts, nothing is safe \xe2\x80\x94 not even his dining set.   \n\nCan you relate?\n\n#BuildWit\xe2\x80\xa6'"
1544742722258362368,2022-07-06 17:58:59+00:00,b'You have two choices to get back more time: automate or hire someone.'
1544712436401311744,2022-07-06 15:58:38+00:00,"b""RT @dyrdekmachine: It usually takes 2 or 3 bad things to happen to us for our fears and insecurities to boil to the very top.\n\nThat's when\xe2\x80\xa6"""
1544385091832467457,2022-07-05 18:17:53+00:00,"b'RT @dyrdekmachine: Is negativity holding you back?\n\nWhen we experience negative thoughts, more often than not, it\xe2\x80\x99s because we\xe2\x80\x99re overwhelm\xe2\x80\xa6'"
1544351745916035073,2022-07-05 16:05:23+00:00,"b""Start looking at each decision you make in your life as important. No matter how big or small.\n\nLook at how every thought and action from the past has created your present. You will begin to understand that everything you do matters. \n\nIt'll change the way that you live."""
1543700997863665665,2022-07-03 20:59:33+00:00,"b'RT @dyrdekmachine: Despite the blood, sweat and tears Rob Dyrdek poured into his first company, he ended up earning only .5% of sales.\xe2\x80\xa6'"
1543688552495472640,2022-07-03 20:10:05+00:00,"b'RT @dyrdekmachine: In honor of the holiday weekend, our portfolio company Jolie is doing a flash sale on The Filtered Showerhead in Vibrant\xe2\x80\xa6'"
