twitter_id,date,tweet
1546005342420893696,2022-07-10 05:36:11+00:00,b'Enjoy moments before they become memories.'
1545827521765470208,2022-07-09 17:49:35+00:00,"b'""Appear weak when you are strong, and strong when you are weak.""'"
1545827079350255616,2022-07-09 17:47:50+00:00,"b'""To find yourself, think for yourself.""\n\n- Socrates'"
1545650989168234496,2022-07-09 06:08:07+00:00,"b'Stay positive and happy. Work hard and don\xe2\x80\x99t give up. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.'"
1545650490415149056,2022-07-09 06:06:08+00:00,b'Positivity is Power.'
1545470040535093248,2022-07-08 18:09:05+00:00,"b'Your circle is supposed to be proud of you, not jealous.'"
1545086937719275521,2022-07-07 16:46:46+00:00,b'Mental health conversations are very important in relationships.'
1545081503851646976,2022-07-07 16:25:11+00:00,b'Stay close to God and you will be fine.'
1544978668593680385,2022-07-07 09:36:33+00:00,b'\xe2\x80\x9cLife begins where fear ends.\xe2\x80\x9d\n\n~ Osho'
1544885600712794112,2022-07-07 03:26:44+00:00,"b'Distancing yourself when you feel weird vibes, negative energy or sneaky shit is top tier self-care.'"
1544323932224122882,2022-07-05 14:14:52+00:00,"b'When you focus on the good, the good gets better.'"
1544027363847323648,2022-07-04 18:36:24+00:00,b'Keep it private until it\xe2\x80\x99s permanent.'
1543870488190930944,2022-07-04 08:13:02+00:00,b'Be obsessed with improving yourself.'
1543654380653903872,2022-07-03 17:54:18+00:00,"b'Every time I judge someone else, I reveal an unhealed part of myself.'"
1543267549290561537,2022-07-02 16:17:10+00:00,b'Silence is better than explaining.'
1542149454018772993,2022-06-29 14:14:16+00:00,"b""\xe2\x80\x9cBe \xe2\x80\x94 don't try to become\xe2\x80\x9d\n\n\xe2\x80\x95 Osho"""
1541815326887002117,2022-06-28 16:06:34+00:00,"b'Mukesh Ambani resigns as director of Reliance Jio, Akash Ambani named chairman.'"
1541597694619426816,2022-06-28 01:41:46+00:00,"b""Life's trials will test you, and shape you, but don't let them change who you are."""
1541372752829227009,2022-06-27 10:47:56+00:00,b'Smart people will always prioritize their privacy and self-care.'
1541348768012185601,2022-06-27 09:12:37+00:00,"b'Take a deep breath, it\xe2\x80\x99s just a bad day not a bad life.'"
1541272694406397952,2022-06-27 04:10:20+00:00,b'Be with someone who inspires you and makes you be the best version of yourself.'
1541272079705980928,2022-06-27 04:07:53+00:00,"b'When you are thankful for what you have, you are always rewarded with more.'"
1541109851816075264,2022-06-26 17:23:15+00:00,"b'Dream your own dreams, achieve your own goals. Your journey is your own and unique.'"
1541108000924258304,2022-06-26 17:15:54+00:00,b'Be thankful for everything that happens in your life; it\xe2\x80\x99s all an experience.'
1541083052172267520,2022-06-26 15:36:46+00:00,"b""We can't help everyone, but everyone can help someone."""
1540949326545170432,2022-06-26 06:45:23+00:00,b'The way you begin your day determines the way you will live your day.'
