twitter_id,date,tweet
1504231708274487300,2022-03-16 23:02:41+00:00,"b""Oh, one last thing: As I said, my life is better without Twitter in it, so I'm posting this as an announcement, only. If you have questions or comments, I'm itswilwheaton at Facebook and Instagram, and of course I am wil at wil wheaton dot net. Thanks. Be kind!"""
1504231707037233153,2022-03-16 23:02:40+00:00,"b""This is so much longer than I intended. If you're still reading, on behalf of every person I\xe2\x80\x99ve been at every stage of my life, I want to say thank you, from all of us, for listening."""
1504231705644699651,2022-03-16 23:02:40+00:00,"b""You can pre-order the print book here: https://t.co/6E5JPEel8x\n\nOh I'm supposed to tell you that if you pre-order any version of the book, you'll get to listen to an early chapter from the audiobook. Just enter your receipt here: https://t.co/vrTatgL8al"""
1504231704268967939,2022-03-16 23:02:40+00:00,"b'I need you to know that this book gets raw, vulnerable, and intense in a few places. If any of that sounds like it could be difficult for you, I want you to know ahead of time, so you can be prepared.\n\nYou can learn more about Still Just A Geek here: https://t.co/hveeDQo8Zw'"
1504231703123927040,2022-03-16 23:02:39+00:00,"b'Finally, a content warning. I talk a lot about my traumatic childhood. I talk about experiencing abuse, neglect, and exploitation. A lot of that was incredibly hard for me to read for the audiobook, much more challenging than it was to write.'"
1504231701941157889,2022-03-16 23:02:39+00:00,"b'You\xe2\x80\x99re going to hear about a son who just wanted to be seen and heard, from the father who he grew up to be; a father who will do his best to give that kid, that teenager, that struggling twenty-something the voice he never had.'"
1504231700791922691,2022-03-16 23:02:39+00:00,"b'I suspect it will help if you imagine that we are sitting in a room together, and I am just telling you my story. I\xe2\x80\x99m reading to you from the book I wrote 20 years ago, occasionally looking up to reflect on it.'"
1504231699613319171,2022-03-16 23:02:39+00:00,"b'Industry professionals tell me this level of annotation and reflection is kind of a new thing for memoirs, and I wanted to offer a suggestion that may help ease you into the whole experience.'"
1504231698350759942,2022-03-16 23:02:38+00:00,"b'The annotations are almost-50 me talking about the experiences of almost-30 me, with the benefit of 20 years in between us. The second half is essays and speeches I\xe2\x80\x99ve written in the last handful of years. You will hopefully see how I grew and changed as a person, and writer.'"
1504231696991850501,2022-03-16 23:02:38+00:00,"b'If you\'re not, like, ""Be ... sure ... to drink your ... Ovaltine?"", here\'s what I want you to know. This will take a few tweets.\nThe first half of this book is my 2004 memoir, Just A Geek. I\xe2\x80\x99ve heavily annotated and reflected on who I was and what I wrote in the early aughts.'"
