twitter_id,date,tweet
1542230158253477888,2022-06-29 19:34:57+00:00,b'AGUILERA \xe2\x9c\xa8 It represents who I am and who I\xe2\x80\x99ve always been \xe2\x9d\xa4\xef\xb8\x8f https://t.co/XBJpOaxg9l'
1542229579758276609,2022-06-29 19:32:39+00:00,"b'Being Latina has always been such an important part of who I am, my heritage, my father, my childhood. Creating another Spanish album was something I\xe2\x80\x99ve been wanting to do since Mi Reflejo. I wanted to create something on a deeper level this time around &amp; AGUILERA is just that\xe2\x9d\xa4\xef\xb8\x8f https://t.co/kUJ8nFcgaf'"
1542181648770506752,2022-06-29 16:22:12+00:00,b'RT @papermagazine: It will be worth the watch @xtina \xf0\x9f\xa4\xa9\nhttps://t.co/MAGPUAtaJx'
1541880793328484352,2022-06-28 20:26:42+00:00,"b'A night to remember \xe2\x9c\xa8 Don\xe2\x80\x99t miss out on the magic! On June 30th for one night only, stream my #Pride2022 performance for free with @nocapshows Grab your free ticket and be entered to win an item of merch of your choice during the stream! xoxo \xf0\x9f\x92\x8b https://t.co/jVmbG7igJh https://t.co/pVzjMBMqC2'"
1541858193734778883,2022-06-28 18:56:54+00:00,b'Continuously reinventing the chaps\xe2\x80\x94 a must! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 Every designer brought it for @lapride and I was proud to wear every color so brightly and boldly! \xf0\x9f\x8c\x88\xe2\x9c\xa8 https://t.co/y4tVpxtBCi'
1541857443201912834,2022-06-28 18:53:55+00:00,b'From the green palette being a take on the legendary &amp; controversial artist Tom of Finland\xe2\x80\x99s artwork\xe2\x80\xa6To the orange theme cones being a take on Gaultier\xe2\x80\x99s epic cone bra design\xe2\x80\xa6&amp; of course loved working with the @SavageXFenty team on a nod to classic showgirl with a modern twist! https://t.co/3UbVqrjjlW'
1541855196711641094,2022-06-28 18:44:59+00:00,"b'We went through every color of the rainbow throughout my @lapride show- pairing specific colors within a different song, mood and \xe2\x80\x9ctheme\xe2\x80\x9d. We were inspired to pay homage to some truly historic great gay memorable moments and icons! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa7\xa1\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x92\x9c https://t.co/8mEpAaSOOp'"
1541481643273093120,2022-06-27 18:00:37+00:00,b'Stream my LA Pride Show on June 30th!\n\nGrab your free ticket and be automatically entered to win a merch item of your choice during the stream \xf0\x9f\x8c\x88\xe2\x9c\xa8\n\nLink: https://t.co/V0FWPc30ao https://t.co/LVWczdnDEz'
1537296233974276096,2022-06-16 04:49:18+00:00,b'LIBERATION \n\nCan\xe2\x80\x99t believe this was 4 years ago today!\n\nWhat a ride it\xe2\x80\x99s been in a short span-\nEvery year feeling more liberated than the last. So grateful to have fans who\xe2\x80\x99s support gives me endless strength- liberating me daily and inspiring the work that I do and why\xf0\x9f\xa4\x8d https://t.co/ynbc9yYHK8'
1536612373552717826,2022-06-14 07:31:53+00:00,b'ORANGE\xf0\x9f\xa7\xa1\xf0\x9f\xa7\xa1\xf0\x9f\xa7\xa1\xf0\x9f\xa7\xa1\xf0\x9f\x9a\x98\xf0\x9f\xab\xa7 https://t.co/3DmLFySvMc'
